method,total_anomaly,pct_of_total_rows_%,pct_within_all_flagged_methods_%
IQR,6596,1.505111354508945,19.60411341615645
Isolation Forest,8765,2.0000456370938298,26.05064495036557
LSTM Autoencoder,14912,3.402701715954728,44.32027581287523
Z-Score,3373,0.7696695874406718,10.024965820602747
